buisnesstype,date,Originalwerte
Beherbergung,2003-04,"97,9"
Beherbergung,2003-05,"118,3"
Beherbergung,2003-06,"114,7"
Beherbergung,2003-07,109
Beherbergung,2003-08,"112,4"
Beherbergung,2003-09,"124,6"
Beherbergung,2003-10,"118,5"
Beherbergung,2003-11,"94,5"
Beherbergung,2003-12,"94,6"
Beherbergung,2004-01,"79,1"
Beherbergung,2004-02,"85,8"
Beherbergung,2004-03,"98,2"
Beherbergung,2004-04,"100,7"
Beherbergung,2004-05,"121,2"
Beherbergung,2004-06,113
Beherbergung,2004-07,"110,7"
Beherbergung,2004-08,"112,3"
Beherbergung,2004-09,"127,1"
Beherbergung,2004-10,"118,7"
Beherbergung,2004-11,"94,1"
Beherbergung,2004-12,"91,8"
Beherbergung,2005-01,"79,3"
Beherbergung,2005-02,"80,5"
Beherbergung,2005-03,"90,5"
Beherbergung,2005-04,"99,4"
Beherbergung,2005-05,"112,7"
Beherbergung,2005-06,"110,3"
Beherbergung,2005-07,"108,5"
Beherbergung,2005-08,"112,2"
Beherbergung,2005-09,"125,6"
Beherbergung,2005-10,116
Beherbergung,2005-11,"90,3"
Beherbergung,2005-12,"94,1"
Beherbergung,2006-01,"79,5"
Beherbergung,2006-02,"82,1"
Beherbergung,2006-03,"93,1"
Beherbergung,2006-04,"97,6"
Beherbergung,2006-05,"118,4"
Beherbergung,2006-06,"115,1"
Beherbergung,2006-07,"115,2"
Beherbergung,2006-08,"111,3"
Beherbergung,2006-09,"129,6"
Beherbergung,2006-10,"118,4"
Beherbergung,2006-11,"89,4"
Beherbergung,2006-12,"98,3"
Beherbergung,2007-01,"80,9"
Beherbergung,2007-02,"82,3"
Beherbergung,2007-03,"97,9"
Beherbergung,2007-04,"101,8"
Beherbergung,2007-05,"115,7"
Beherbergung,2007-06,"113,1"
Beherbergung,2007-07,"112,2"
Beherbergung,2007-08,"114,6"
Beherbergung,2007-09,"124,6"
Beherbergung,2007-10,"120,8"
Beherbergung,2007-11,"94,7"
Beherbergung,2007-12,"98,1"
Beherbergung,2008-01,"81,4"
Beherbergung,2008-02,"86,7"
Beherbergung,2008-03,91
Beherbergung,2008-04,"102,3"
Beherbergung,2008-05,"118,6"
Beherbergung,2008-06,"113,3"
Beherbergung,2008-07,"111,2"
Beherbergung,2008-08,"113,2"
Beherbergung,2008-09,"123,5"
Beherbergung,2008-10,"115,1"
Beherbergung,2008-11,"91,3"
Beherbergung,2008-12,"91,3"
Beherbergung,2009-01,"71,5"
Beherbergung,2009-02,"74,3"
Beherbergung,2009-03,"84,5"
Beherbergung,2009-04,"87,9"
Beherbergung,2009-05,"105,7"
Beherbergung,2009-06,"102,4"
Beherbergung,2009-07,"105,4"
Beherbergung,2009-08,108
Beherbergung,2009-09,"113,2"
Beherbergung,2009-10,"105,5"
Beherbergung,2009-11,85
Beherbergung,2009-12,"87,6"
Beherbergung,2010-01,"69,3"
Beherbergung,2010-02,"73,1"
Beherbergung,2010-03,83
Beherbergung,2010-04,"91,1"
Beherbergung,2010-05,"101,7"
Beherbergung,2010-06,"103,7"
Beherbergung,2010-07,108
Beherbergung,2010-08,"106,8"
Beherbergung,2010-09,"116,8"
Beherbergung,2010-10,"110,3"
Beherbergung,2010-11,"88,8"
Beherbergung,2010-12,"87,5"
Beherbergung,2011-01,"73,4"
Beherbergung,2011-02,"75,5"
Beherbergung,2011-03,87
Beherbergung,2011-04,"92,2"
Beherbergung,2011-05,110
Beherbergung,2011-06,"106,8"
Beherbergung,2011-07,"109,4"
Beherbergung,2011-08,"106,3"
Beherbergung,2011-09,"116,9"
Beherbergung,2011-10,"110,4"
Beherbergung,2011-11,90
Beherbergung,2011-12,"90,4"
Beherbergung,2012-01,"74,2"
Beherbergung,2012-02,"78,9"
Beherbergung,2012-03,"90,7"
Beherbergung,2012-04,"93,5"
Beherbergung,2012-05,"111,6"
Beherbergung,2012-06,"108,3"
Beherbergung,2012-07,"108,9"
Beherbergung,2012-08,"111,6"
Beherbergung,2012-09,"119,8"
Beherbergung,2012-10,"109,4"
Beherbergung,2012-11,"90,7"
Beherbergung,2012-12,91
Beherbergung,2013-01,"74,6"
Beherbergung,2013-02,"76,2"
Beherbergung,2013-03,"87,3"
Beherbergung,2013-04,"94,5"
Beherbergung,2013-05,"102,8"
Beherbergung,2013-06,"105,5"
Beherbergung,2013-07,109
Beherbergung,2013-08,"111,7"
Beherbergung,2013-09,"116,7"
Beherbergung,2013-10,112
Beherbergung,2013-11,"89,6"
Beherbergung,2013-12,"88,7"
Beherbergung,2014-01,"74,4"
Beherbergung,2014-02,"75,2"
Beherbergung,2014-03,"86,5"
Beherbergung,2014-04,"90,6"
Beherbergung,2014-05,"111,1"
Beherbergung,2014-06,"106,8"
Beherbergung,2014-07,"109,5"
Beherbergung,2014-08,"113,8"
Beherbergung,2014-09,"121,2"
Beherbergung,2014-10,"112,2"
Beherbergung,2014-11,"92,4"
Beherbergung,2014-12,"90,4"
Beherbergung,2015-01,"75,1"
Beherbergung,2015-02,78
Beherbergung,2015-03,"88,8"
Beherbergung,2015-04,"91,9"
Beherbergung,2015-05,"108,9"
Beherbergung,2015-06,"112,5"
Beherbergung,2015-07,"112,6"
Beherbergung,2015-08,"115,3"
Beherbergung,2015-09,"119,3"
Beherbergung,2015-10,"113,3"
Beherbergung,2015-11,"92,9"
Beherbergung,2015-12,"91,7"
Beherbergung,2016-01,"76,6"
Beherbergung,2016-02,"80,7"
Beherbergung,2016-03,"91,7"
Beherbergung,2016-04,"99,4"
Beherbergung,2016-05,"108,6"
Beherbergung,2016-06,"111,1"
Beherbergung,2016-07,"115,2"
Beherbergung,2016-08,"114,6"
Beherbergung,2016-09,"125,6"
Beherbergung,2016-10,"114,7"
Beherbergung,2016-11,"93,2"
Beherbergung,2016-12,"92,6"
Beherbergung,2017-01,"78,4"
Beherbergung,2017-02,"79,1"
Beherbergung,2017-03,"96,2"
Beherbergung,2017-04,"97,1"
Beherbergung,2017-05,"116,1"
Beherbergung,2017-06,"111,4"
Beherbergung,2017-07,"115,7"
Beherbergung,2017-08,"112,2"
Beherbergung,2017-09,"124,4"
Beherbergung,2017-10,"114,6"
Beherbergung,2017-11,"94,1"
Beherbergung,2017-12,"96,1"
Beherbergung,2018-01,"80,8"
Beherbergung,2018-02,"81,6"
Beherbergung,2018-03,"94,3"
Beherbergung,2018-04,"102,4"
Beherbergung,2018-05,"109,2"
Beherbergung,2018-06,"115,5"
Beherbergung,2018-07,"116,5"
Beherbergung,2018-08,116
Beherbergung,2018-09,"127,1"
Beherbergung,2018-10,"115,9"
Beherbergung,2018-11,"97,3"
Beherbergung,2018-12,96
Beherbergung,2019-01,"82,1"
Beherbergung,2019-02,"83,9"
Beherbergung,2019-03,"97,7"
Beherbergung,2019-04,"101,3"
Beherbergung,2019-05,"112,1"
Beherbergung,2019-06,"115,7"
Beherbergung,2019-07,"115,5"
Beherbergung,2019-08,"115,1"
Beherbergung,2019-09,"123,2"
Beherbergung,2019-10,117
Beherbergung,2019-11,"100,1"
Beherbergung,2019-12,"96,1"
Beherbergung,2020-01,"80,8"
Beherbergung,2020-02,"84,5"
Beherbergung,2020-03,"48,2"
Beherbergung,2020-04,"11,5"
Beherbergung,2020-05,...
Beherbergung,2020-06,...
Beherbergung,2020-07,...
Beherbergung,2020-08,...
Beherbergung,2020-09,...
Beherbergung,2020-10,...
Beherbergung,2020-11,...
Beherbergung,2020-12,...
"Hotels, Gasthöfe und Pensionen",1994-01,"91,9"
"Hotels, Gasthöfe und Pensionen",1994-02,"97,2"
"Hotels, Gasthöfe und Pensionen",1994-03,"110,6"
"Hotels, Gasthöfe und Pensionen",1994-04,"115,9"
"Hotels, Gasthöfe und Pensionen",1994-05,"136,8"
"Hotels, Gasthöfe und Pensionen",1994-06,"132,8"
"Hotels, Gasthöfe und Pensionen",1994-07,"126,4"
"Hotels, Gasthöfe und Pensionen",1994-08,"132,2"
"Hotels, Gasthöfe und Pensionen",1994-09,"155,6"
"Hotels, Gasthöfe und Pensionen",1994-10,"146,6"
"Hotels, Gasthöfe und Pensionen",1994-11,108
"Hotels, Gasthöfe und Pensionen",1994-12,"112,1"
"Hotels, Gasthöfe und Pensionen",1995-01,"91,6"
"Hotels, Gasthöfe und Pensionen",1995-02,"96,8"
"Hotels, Gasthöfe und Pensionen",1995-03,"112,5"
"Hotels, Gasthöfe und Pensionen",1995-04,"112,7"
"Hotels, Gasthöfe und Pensionen",1995-05,"140,4"
"Hotels, Gasthöfe und Pensionen",1995-06,128
"Hotels, Gasthöfe und Pensionen",1995-07,"118,2"
"Hotels, Gasthöfe und Pensionen",1995-08,"121,9"
"Hotels, Gasthöfe und Pensionen",1995-09,"142,6"
"Hotels, Gasthöfe und Pensionen",1995-10,"139,3"
"Hotels, Gasthöfe und Pensionen",1995-11,"106,7"
"Hotels, Gasthöfe und Pensionen",1995-12,"109,9"
"Hotels, Gasthöfe und Pensionen",1996-01,"88,6"
"Hotels, Gasthöfe und Pensionen",1996-02,"94,8"
"Hotels, Gasthöfe und Pensionen",1996-03,"109,3"
"Hotels, Gasthöfe und Pensionen",1996-04,"110,7"
"Hotels, Gasthöfe und Pensionen",1996-05,"131,8"
"Hotels, Gasthöfe und Pensionen",1996-06,"124,4"
"Hotels, Gasthöfe und Pensionen",1996-07,"113,7"
"Hotels, Gasthöfe und Pensionen",1996-08,"121,2"
"Hotels, Gasthöfe und Pensionen",1996-09,"139,5"
"Hotels, Gasthöfe und Pensionen",1996-10,"133,4"
"Hotels, Gasthöfe und Pensionen",1996-11,"105,1"
"Hotels, Gasthöfe und Pensionen",1996-12,"106,3"
"Hotels, Gasthöfe und Pensionen",1997-01,"88,3"
"Hotels, Gasthöfe und Pensionen",1997-02,"89,9"
"Hotels, Gasthöfe und Pensionen",1997-03,"104,6"
"Hotels, Gasthöfe und Pensionen",1997-04,"108,8"
"Hotels, Gasthöfe und Pensionen",1997-05,125
"Hotels, Gasthöfe und Pensionen",1997-06,"125,5"
"Hotels, Gasthöfe und Pensionen",1997-07,111
"Hotels, Gasthöfe und Pensionen",1997-08,"119,9"
"Hotels, Gasthöfe und Pensionen",1997-09,"141,7"
"Hotels, Gasthöfe und Pensionen",1997-10,"133,8"
"Hotels, Gasthöfe und Pensionen",1997-11,"103,6"
"Hotels, Gasthöfe und Pensionen",1997-12,"107,4"
"Hotels, Gasthöfe und Pensionen",1998-01,"87,1"
"Hotels, Gasthöfe und Pensionen",1998-02,93
"Hotels, Gasthöfe und Pensionen",1998-03,"104,8"
"Hotels, Gasthöfe und Pensionen",1998-04,"103,5"
"Hotels, Gasthöfe und Pensionen",1998-05,"128,8"
"Hotels, Gasthöfe und Pensionen",1998-06,"122,4"
"Hotels, Gasthöfe und Pensionen",1998-07,"110,5"
"Hotels, Gasthöfe und Pensionen",1998-08,"117,5"
"Hotels, Gasthöfe und Pensionen",1998-09,"136,8"
"Hotels, Gasthöfe und Pensionen",1998-10,"130,4"
"Hotels, Gasthöfe und Pensionen",1998-11,"102,5"
"Hotels, Gasthöfe und Pensionen",1998-12,"107,3"
"Hotels, Gasthöfe und Pensionen",1999-01,"91,6"
"Hotels, Gasthöfe und Pensionen",1999-02,"93,4"
"Hotels, Gasthöfe und Pensionen",1999-03,"106,2"
"Hotels, Gasthöfe und Pensionen",1999-04,"105,5"
"Hotels, Gasthöfe und Pensionen",1999-05,"127,4"
"Hotels, Gasthöfe und Pensionen",1999-06,"121,6"
"Hotels, Gasthöfe und Pensionen",1999-07,"113,3"
"Hotels, Gasthöfe und Pensionen",1999-08,"118,3"
"Hotels, Gasthöfe und Pensionen",1999-09,"139,6"
"Hotels, Gasthöfe und Pensionen",1999-10,"132,9"
"Hotels, Gasthöfe und Pensionen",1999-11,"109,7"
"Hotels, Gasthöfe und Pensionen",1999-12,"111,8"
"Hotels, Gasthöfe und Pensionen",2000-01,"92,9"
"Hotels, Gasthöfe und Pensionen",2000-02,"100,4"
"Hotels, Gasthöfe und Pensionen",2000-03,110
"Hotels, Gasthöfe und Pensionen",2000-04,111
"Hotels, Gasthöfe und Pensionen",2000-05,"140,4"
"Hotels, Gasthöfe und Pensionen",2000-06,"134,3"
"Hotels, Gasthöfe und Pensionen",2000-07,"127,6"
"Hotels, Gasthöfe und Pensionen",2000-08,"131,9"
"Hotels, Gasthöfe und Pensionen",2000-09,"153,7"
"Hotels, Gasthöfe und Pensionen",2000-10,"141,1"
"Hotels, Gasthöfe und Pensionen",2000-11,"112,7"
"Hotels, Gasthöfe und Pensionen",2000-12,"112,7"
"Hotels, Gasthöfe und Pensionen",2001-01,"97,5"
"Hotels, Gasthöfe und Pensionen",2001-02,"96,2"
"Hotels, Gasthöfe und Pensionen",2001-03,"113,6"
"Hotels, Gasthöfe und Pensionen",2001-04,"112,1"
"Hotels, Gasthöfe und Pensionen",2001-05,"137,2"
"Hotels, Gasthöfe und Pensionen",2001-06,"130,7"
"Hotels, Gasthöfe und Pensionen",2001-07,"126,7"
"Hotels, Gasthöfe und Pensionen",2001-08,"129,3"
"Hotels, Gasthöfe und Pensionen",2001-09,"142,9"
"Hotels, Gasthöfe und Pensionen",2001-10,"135,8"
"Hotels, Gasthöfe und Pensionen",2001-11,"110,9"
"Hotels, Gasthöfe und Pensionen",2001-12,108
"Hotels, Gasthöfe und Pensionen",2002-01,"92,6"
"Hotels, Gasthöfe und Pensionen",2002-02,"93,7"
"Hotels, Gasthöfe und Pensionen",2002-03,"105,1"
"Hotels, Gasthöfe und Pensionen",2002-04,"111,1"
"Hotels, Gasthöfe und Pensionen",2002-05,"122,6"
"Hotels, Gasthöfe und Pensionen",2002-06,"123,1"
"Hotels, Gasthöfe und Pensionen",2002-07,"117,5"
"Hotels, Gasthöfe und Pensionen",2002-08,"120,7"
"Hotels, Gasthöfe und Pensionen",2002-09,"135,4"
"Hotels, Gasthöfe und Pensionen",2002-10,"123,9"
"Hotels, Gasthöfe und Pensionen",2002-11,"100,7"
"Hotels, Gasthöfe und Pensionen",2002-12,"96,8"
"Hotels, Gasthöfe und Pensionen",2003-01,"82,7"
"Hotels, Gasthöfe und Pensionen",2003-02,"84,9"
"Hotels, Gasthöfe und Pensionen",2003-03,"96,7"
"Hotels, Gasthöfe und Pensionen",2003-04,"96,5"
"Hotels, Gasthöfe und Pensionen",2003-05,"117,7"
"Hotels, Gasthöfe und Pensionen",2003-06,113
"Hotels, Gasthöfe und Pensionen",2003-07,"106,3"
"Hotels, Gasthöfe und Pensionen",2003-08,"109,2"
"Hotels, Gasthöfe und Pensionen",2003-09,124
"Hotels, Gasthöfe und Pensionen",2003-10,"118,5"
"Hotels, Gasthöfe und Pensionen",2003-11,96
"Hotels, Gasthöfe und Pensionen",2003-12,95
"Hotels, Gasthöfe und Pensionen",2004-01,"78,7"
"Hotels, Gasthöfe und Pensionen",2004-02,"85,4"
"Hotels, Gasthöfe und Pensionen",2004-03,"97,4"
"Hotels, Gasthöfe und Pensionen",2004-04,"99,4"
"Hotels, Gasthöfe und Pensionen",2004-05,121
"Hotels, Gasthöfe und Pensionen",2004-06,"111,5"
"Hotels, Gasthöfe und Pensionen",2004-07,"108,3"
"Hotels, Gasthöfe und Pensionen",2004-08,"109,4"
"Hotels, Gasthöfe und Pensionen",2004-09,"126,6"
"Hotels, Gasthöfe und Pensionen",2004-10,"119,1"
"Hotels, Gasthöfe und Pensionen",2004-11,"95,4"
"Hotels, Gasthöfe und Pensionen",2004-12,"93,3"
"Hotels, Gasthöfe und Pensionen",2005-01,"77,7"
"Hotels, Gasthöfe und Pensionen",2005-02,"80,4"
"Hotels, Gasthöfe und Pensionen",2005-03,"89,4"
"Hotels, Gasthöfe und Pensionen",2005-04,99
"Hotels, Gasthöfe und Pensionen",2005-05,"111,5"
"Hotels, Gasthöfe und Pensionen",2005-06,"109,2"
"Hotels, Gasthöfe und Pensionen",2005-07,"105,3"
"Hotels, Gasthöfe und Pensionen",2005-08,"109,2"
"Hotels, Gasthöfe und Pensionen",2005-09,"124,8"
"Hotels, Gasthöfe und Pensionen",2005-10,116
"Hotels, Gasthöfe und Pensionen",2005-11,"91,1"
"Hotels, Gasthöfe und Pensionen",2005-12,"95,9"
"Hotels, Gasthöfe und Pensionen",2006-01,"79,2"
"Hotels, Gasthöfe und Pensionen",2006-02,"81,4"
"Hotels, Gasthöfe und Pensionen",2006-03,"92,9"
"Hotels, Gasthöfe und Pensionen",2006-04,"96,6"
"Hotels, Gasthöfe und Pensionen",2006-05,"118,2"
"Hotels, Gasthöfe und Pensionen",2006-06,"113,6"
"Hotels, Gasthöfe und Pensionen",2006-07,"112,3"
"Hotels, Gasthöfe und Pensionen",2006-08,"108,4"
"Hotels, Gasthöfe und Pensionen",2006-09,"128,7"
"Hotels, Gasthöfe und Pensionen",2006-10,"118,4"
"Hotels, Gasthöfe und Pensionen",2006-11,"90,7"
"Hotels, Gasthöfe und Pensionen",2006-12,"99,8"
"Hotels, Gasthöfe und Pensionen",2007-01,"79,4"
"Hotels, Gasthöfe und Pensionen",2007-02,"82,6"
"Hotels, Gasthöfe und Pensionen",2007-03,"97,4"
"Hotels, Gasthöfe und Pensionen",2007-04,101
"Hotels, Gasthöfe und Pensionen",2007-05,"115,2"
"Hotels, Gasthöfe und Pensionen",2007-06,"111,6"
"Hotels, Gasthöfe und Pensionen",2007-07,"109,5"
"Hotels, Gasthöfe und Pensionen",2007-08,"111,7"
"Hotels, Gasthöfe und Pensionen",2007-09,"124,3"
"Hotels, Gasthöfe und Pensionen",2007-10,"121,2"
"Hotels, Gasthöfe und Pensionen",2007-11,"96,1"
"Hotels, Gasthöfe und Pensionen",2007-12,"100,4"
"Hotels, Gasthöfe und Pensionen",2008-01,"81,1"
"Hotels, Gasthöfe und Pensionen",2008-02,"87,1"
"Hotels, Gasthöfe und Pensionen",2008-03,"90,2"
"Hotels, Gasthöfe und Pensionen",2008-04,"101,5"
"Hotels, Gasthöfe und Pensionen",2008-05,"117,3"
"Hotels, Gasthöfe und Pensionen",2008-06,112
"Hotels, Gasthöfe und Pensionen",2008-07,108
"Hotels, Gasthöfe und Pensionen",2008-08,"109,9"
"Hotels, Gasthöfe und Pensionen",2008-09,"122,6"
"Hotels, Gasthöfe und Pensionen",2008-10,115
"Hotels, Gasthöfe und Pensionen",2008-11,"92,8"
"Hotels, Gasthöfe und Pensionen",2008-12,"93,2"
"Hotels, Gasthöfe und Pensionen",2009-01,"70,6"
"Hotels, Gasthöfe und Pensionen",2009-02,"74,5"
"Hotels, Gasthöfe und Pensionen",2009-03,"84,5"
"Hotels, Gasthöfe und Pensionen",2009-04,"86,3"
"Hotels, Gasthöfe und Pensionen",2009-05,"104,7"
"Hotels, Gasthöfe und Pensionen",2009-06,100
"Hotels, Gasthöfe und Pensionen",2009-07,101
"Hotels, Gasthöfe und Pensionen",2009-08,"103,8"
"Hotels, Gasthöfe und Pensionen",2009-09,"112,3"
"Hotels, Gasthöfe und Pensionen",2009-10,105
"Hotels, Gasthöfe und Pensionen",2009-11,"86,6"
"Hotels, Gasthöfe und Pensionen",2009-12,"89,9"
"Hotels, Gasthöfe und Pensionen",2010-01,"68,9"
"Hotels, Gasthöfe und Pensionen",2010-02,"73,7"
"Hotels, Gasthöfe und Pensionen",2010-03,"83,1"
"Hotels, Gasthöfe und Pensionen",2010-04,"90,5"
"Hotels, Gasthöfe und Pensionen",2010-05,"100,6"
"Hotels, Gasthöfe und Pensionen",2010-06,102
"Hotels, Gasthöfe und Pensionen",2010-07,"102,6"
"Hotels, Gasthöfe und Pensionen",2010-08,"102,3"
"Hotels, Gasthöfe und Pensionen",2010-09,"116,9"
"Hotels, Gasthöfe und Pensionen",2010-10,"110,9"
"Hotels, Gasthöfe und Pensionen",2010-11,"91,3"
"Hotels, Gasthöfe und Pensionen",2010-12,"89,8"
"Hotels, Gasthöfe und Pensionen",2011-01,"73,4"
"Hotels, Gasthöfe und Pensionen",2011-02,"76,5"
"Hotels, Gasthöfe und Pensionen",2011-03,"88,1"
"Hotels, Gasthöfe und Pensionen",2011-04,"90,6"
"Hotels, Gasthöfe und Pensionen",2011-05,"110,3"
"Hotels, Gasthöfe und Pensionen",2011-06,"104,7"
"Hotels, Gasthöfe und Pensionen",2011-07,"105,3"
"Hotels, Gasthöfe und Pensionen",2011-08,"102,1"
"Hotels, Gasthöfe und Pensionen",2011-09,"116,8"
"Hotels, Gasthöfe und Pensionen",2011-10,"110,7"
"Hotels, Gasthöfe und Pensionen",2011-11,"92,2"
"Hotels, Gasthöfe und Pensionen",2011-12,"92,9"
"Hotels, Gasthöfe und Pensionen",2012-01,"74,3"
"Hotels, Gasthöfe und Pensionen",2012-02,"79,9"
"Hotels, Gasthöfe und Pensionen",2012-03,"91,6"
"Hotels, Gasthöfe und Pensionen",2012-04,"92,8"
"Hotels, Gasthöfe und Pensionen",2012-05,"111,4"
"Hotels, Gasthöfe und Pensionen",2012-06,"107,1"
"Hotels, Gasthöfe und Pensionen",2012-07,"105,6"
"Hotels, Gasthöfe und Pensionen",2012-08,"108,2"
"Hotels, Gasthöfe und Pensionen",2012-09,"120,2"
"Hotels, Gasthöfe und Pensionen",2012-10,"109,7"
"Hotels, Gasthöfe und Pensionen",2012-11,"92,8"
"Hotels, Gasthöfe und Pensionen",2012-12,93
"Hotels, Gasthöfe und Pensionen",2013-01,"75,2"
"Hotels, Gasthöfe und Pensionen",2013-02,"77,7"
"Hotels, Gasthöfe und Pensionen",2013-03,"88,2"
"Hotels, Gasthöfe und Pensionen",2013-04,"95,4"
"Hotels, Gasthöfe und Pensionen",2013-05,"102,4"
"Hotels, Gasthöfe und Pensionen",2013-06,"105,1"
"Hotels, Gasthöfe und Pensionen",2013-07,"104,9"
"Hotels, Gasthöfe und Pensionen",2013-08,"108,4"
"Hotels, Gasthöfe und Pensionen",2013-09,"116,8"
"Hotels, Gasthöfe und Pensionen",2013-10,"112,8"
"Hotels, Gasthöfe und Pensionen",2013-11,"91,9"
"Hotels, Gasthöfe und Pensionen",2013-12,"90,9"
"Hotels, Gasthöfe und Pensionen",2014-01,"74,8"
"Hotels, Gasthöfe und Pensionen",2014-02,"76,2"
"Hotels, Gasthöfe und Pensionen",2014-03,"87,8"
"Hotels, Gasthöfe und Pensionen",2014-04,"89,9"
"Hotels, Gasthöfe und Pensionen",2014-05,"111,8"
"Hotels, Gasthöfe und Pensionen",2014-06,"105,5"
"Hotels, Gasthöfe und Pensionen",2014-07,"106,7"
"Hotels, Gasthöfe und Pensionen",2014-08,"110,3"
"Hotels, Gasthöfe und Pensionen",2014-09,"121,8"
"Hotels, Gasthöfe und Pensionen",2014-10,"112,8"
"Hotels, Gasthöfe und Pensionen",2014-11,"94,7"
"Hotels, Gasthöfe und Pensionen",2014-12,"92,5"
"Hotels, Gasthöfe und Pensionen",2015-01,"75,2"
"Hotels, Gasthöfe und Pensionen",2015-02,"78,6"
"Hotels, Gasthöfe und Pensionen",2015-03,"89,4"
"Hotels, Gasthöfe und Pensionen",2015-04,"91,5"
"Hotels, Gasthöfe und Pensionen",2015-05,"108,8"
"Hotels, Gasthöfe und Pensionen",2015-06,"112,4"
"Hotels, Gasthöfe und Pensionen",2015-07,"109,6"
"Hotels, Gasthöfe und Pensionen",2015-08,"112,3"
"Hotels, Gasthöfe und Pensionen",2015-09,"119,9"
"Hotels, Gasthöfe und Pensionen",2015-10,"113,6"
"Hotels, Gasthöfe und Pensionen",2015-11,"95,1"
"Hotels, Gasthöfe und Pensionen",2015-12,"93,6"
"Hotels, Gasthöfe und Pensionen",2016-01,"77,1"
"Hotels, Gasthöfe und Pensionen",2016-02,"82,2"
"Hotels, Gasthöfe und Pensionen",2016-03,"92,7"
"Hotels, Gasthöfe und Pensionen",2016-04,"100,4"
"Hotels, Gasthöfe und Pensionen",2016-05,"108,1"
"Hotels, Gasthöfe und Pensionen",2016-06,"111,2"
